MAE: 0.052633 MAPE: 37.700131 MSE: 0.004687
2016-04-01 06:00:00 0.11952467 |1 0.116789185 |2 0.10729501 |3 0.10997662 |4 0.10381746 |5 0.12809166 |6 0.100751005 |7 
2016-04-01 07:00:00 0.104551464 |1 0.097947046 |2 0.098165125 |3 0.096056014 |4 0.09695633 |5 0.114793815 |6 0.09556934 |7 
2016-04-01 08:00:00 0.09339243 |1 0.08875999 |2 0.08988147 |3 0.09027511 |4 0.08732876 |5 0.1107246 |6 0.086613 |7 
2016-04-01 09:00:00 0.08747195 |1 0.084340826 |2 0.0856967 |3 0.08282789 |4 0.081570186 |5 0.10394014 |6 0.08191548 |7 
2016-04-01 10:00:00 0.08448146 |1 0.08210866 |2 0.08358292 |3 0.07906623 |4 0.07866147 |5 0.100513235 |6 0.07954273 |7 
2016-04-01 11:00:00 0.08538097 |1 0.08575342 |2 0.08491647 |3 0.0820069 |4 0.079704575 |5 0.105048634 |6 0.082346424 |7 
2016-04-01 12:00:00 0.10095003 |1 0.09308526 |2 0.091939226 |3 0.09203029 |4 0.0964513 |5 0.128339 |6 0.10482296 |7 
2016-04-01 13:00:00 0.11379616 |1 0.10555983 |2 0.103974566 |3 0.10380477 |4 0.10416472 |5 0.14355281 |6 0.118058085 |7 
2016-04-01 14:00:00 0.10315031 |1 0.0964501 |2 0.09685843 |3 0.09687376 |4 0.09515206 |5 0.12587443 |6 0.10340772 |7 
2016-04-01 15:00:00 0.08971587 |1 0.08851216 |2 0.08786745 |3 0.086753316 |4 0.08318845 |5 0.109154075 |6 0.085784145 |7 
2016-04-01 16:00:00 0.09157087 |1 0.08807619 |2 0.088752225 |3 0.088282384 |4 0.08540425 |5 0.10935262 |6 0.08573305 |7 
2016-04-01 17:00:00 0.09339477 |1 0.08876173 |2 0.08988313 |3 0.090278044 |4 0.087331034 |5 0.11072728 |6 0.08661485 |7 
2016-04-01 18:00:00 0.0958434 |1 0.09201765 |2 0.09285033 |3 0.093189806 |4 0.09071222 |5 0.113505274 |6 0.08828732 |7 
2016-04-01 19:00:00 0.09664752 |1 0.092499286 |2 0.0931178 |3 0.09314795 |4 0.09207593 |5 0.11348453 |6 0.08833947 |7 
2016-04-01 20:00:00 0.0970443 |1 0.09231539 |2 0.0930129 |3 0.092799366 |4 0.092717744 |5 0.11321056 |6 0.08867867 |7 
2016-04-01 21:00:00 0.097400784 |1 0.09227095 |2 0.0928664 |3 0.093390666 |4 0.09244581 |5 0.11359033 |6 0.08884296 |7 
